wl,n,k
1.02,3.78655,0.13357
1.021,3.78544,0.13292
1.022,3.78434,0.13228
1.023,3.78324,0.13164
1.024,3.78215,0.13101
1.025,3.78106,0.13038
1.026,3.77998,0.12976
1.027,3.77891,0.12915
1.028,3.77784,0.12854
1.029,3.77677,0.12793
1.03,3.77571,0.12733
1.031,3.77466,0.12674
1.032,3.77361,0.12615
1.033,3.77256,0.12557
1.034,3.77152,0.12499
1.035,3.77048,0.12441
1.036,3.76945,0.12384
1.037,3.76843,0.12328
1.038,3.76741,0.12271
1.039,3.76639,0.12216
1.04,3.76538,0.12161
1.041,3.76437,0.12106
1.042,3.76337,0.12052
1.043,3.76238,0.11998
1.044,3.76138,0.11945
1.045,3.7604,0.11892
1.046,3.75941,0.11839
1.047,3.75843,0.11787
1.048,3.75746,0.11735
1.049,3.75649,0.11684
1.05,3.75553,0.11633
1.051,3.75456,0.11583
1.052,3.75361,0.11533
1.053,3.75266,0.11483
1.054,3.75171,0.11434
1.055,3.75077,0.11385
1.056,3.74983,0.11336
1.057,3.74889,0.11288
1.058,3.74796,0.1124
1.059,3.74704,0.11193
1.06,3.74612,0.11146
1.061,3.7452,0.11099
1.062,3.74429,0.11053
1.063,3.74338,0.11007
1.064,3.74247,0.10962
1.065,3.74157,0.10916
1.066,3.74067,0.10872
1.067,3.73978,0.10827
1.068,3.73889,0.10783
1.069,3.73801,0.10739
1.07,3.73713,0.10695
1.071,3.73625,0.10652
1.072,3.73538,0.10609
1.073,3.73451,0.10567
1.074,3.73364,0.10524
1.075,3.73278,0.10482
1.076,3.73192,0.10441
1.077,3.73107,0.10399
1.078,3.73022,0.10358
1.079,3.72937,0.10318
1.08,3.72853,0.10277
1.081,3.72769,0.10237
1.082,3.72686,0.10197
1.083,3.72603,0.10158
1.084,3.7252,0.10118
1.085,3.72437,0.10079
1.086,3.72355,0.10041
1.087,3.72274,0.10002
1.088,3.72192,0.09964
1.089,3.72111,0.09926
1.09,3.72031,0.09888
1.091,3.71951,0.09851
1.092,3.71871,0.09814
1.093,3.71791,0.09777
1.094,3.71712,0.09741
1.095,3.71633,0.09704
1.096,3.71554,0.09668
1.097,3.71476,0.09632
1.098,3.71398,0.09597
1.099,3.71321,0.09561
1.1,3.71243,0.09526
1.101,3.71166,0.09492
1.102,3.7109,0.09457
1.103,3.71014,0.09423
1.104,3.70938,0.09388
1.105,3.70862,0.09355
1.106,3.70787,0.09321
1.107,3.70712,0.09287
1.108,3.70637,0.09254
1.109,3.70563,0.09221
1.11,3.70489,0.09188
1.111,3.70415,0.09156
1.112,3.70342,0.09124
1.113,3.70269,0.09091
1.114,3.70196,0.0906
1.115,3.70123,0.09028
1.116,3.70051,0.08996
1.117,3.69979,0.08965
1.118,3.69908,0.08934
1.119,3.69836,0.08903
1.12,3.69765,0.08872
1.121,3.69695,0.08842
1.122,3.69624,0.08812
1.123,3.69554,0.08782
1.124,3.69484,0.08752
1.125,3.69415,0.08722
1.126,3.69345,0.08693
1.127,3.69276,0.08663
1.128,3.69208,0.08634
1.129,3.69139,0.08605
1.13,3.69071,0.08576
1.131,3.69003,0.08548
1.132,3.68936,0.08519
1.133,3.68868,0.08491
1.134,3.68801,0.08463
1.135,3.68734,0.08435
1.136,3.68668,0.08408
1.137,3.68602,0.0838
1.138,3.68536,0.08353
1.139,3.6847,0.08326
1.14,3.68405,0.08299
1.141,3.68339,0.08272
1.142,3.68274,0.08245
1.143,3.6821,0.08219
1.144,3.68145,0.08192
1.145,3.68081,0.08166
1.146,3.68017,0.0814
1.147,3.67954,0.08114
1.148,3.6789,0.08089
1.149,3.67827,0.08063
1.15,3.67764,0.08038
1.151,3.67701,0.08012
1.152,3.67639,0.07987
1.153,3.67577,0.07962
1.154,3.67515,0.07938
1.155,3.67453,0.07913
1.156,3.67392,0.07889
1.157,3.6733,0.07864
1.158,3.6727,0.0784
1.159,3.67209,0.07816
1.16,3.67148,0.07792
1.161,3.67088,0.07768
1.162,3.67028,0.07745
1.163,3.66968,0.07721
1.164,3.66909,0.07698
1.165,3.66849,0.07675
1.166,3.6679,0.07651
1.167,3.66731,0.07628
1.168,3.66673,0.07606
1.169,3.66614,0.07583
1.17,3.66556,0.0756
1.171,3.66498,0.07538
1.172,3.6644,0.07516
1.173,3.66382,0.07494
1.174,3.66325,0.07471
1.175,3.66268,0.0745
1.176,3.66211,0.07428
1.177,3.66154,0.07406
1.178,3.66098,0.07385
1.179,3.66042,0.07363
1.18,3.65986,0.07342
1.181,3.6593,0.07321
1.182,3.65874,0.073
1.183,3.65819,0.07279
1.184,3.65763,0.07258
1.185,3.65708,0.07237
1.186,3.65654,0.07216
1.187,3.65599,0.07196
1.188,3.65544,0.07176
1.189,3.6549,0.07155
1.19,3.65436,0.07135
1.191,3.65382,0.07115
1.192,3.65329,0.07095
1.193,3.65275,0.07075
1.194,3.65222,0.07056
1.195,3.65169,0.07036
1.196,3.65116,0.07016
1.197,3.65064,0.06997
1.198,3.65011,0.06978
1.199,3.64959,0.06959
1.2,3.64907,0.0694
1.201,3.64855,0.06921
1.202,3.64803,0.06902
1.203,3.64752,0.06883
1.204,3.647,0.06864
1.205,3.64649,0.06846
1.206,3.64598,0.06827
1.207,3.64548,0.06809
1.208,3.64497,0.0679
1.209,3.64447,0.06772
1.21,3.64396,0.06754
1.211,3.64346,0.06736
1.212,3.64296,0.06718
1.213,3.64247,0.067
1.214,3.64197,0.06683
1.215,3.64148,0.06665
1.216,3.64099,0.06647
1.217,3.6405,0.0663
1.218,3.64001,0.06613
1.219,3.63952,0.06595
1.22,3.63904,0.06578
1.221,3.63855,0.06561
1.222,3.63807,0.06544
1.223,3.63759,0.06527
1.224,3.63711,0.0651
1.225,3.63664,0.06494
1.226,3.63616,0.06477
1.227,3.63569,0.0646
1.228,3.63522,0.06444
1.229,3.63475,0.06427
1.23,3.63428,0.06411
1.231,3.63382,0.06395
1.232,3.63335,0.06379
1.233,3.63289,0.06363
1.234,3.63243,0.06347
1.235,3.63197,0.06331
1.236,3.63151,0.06315
1.237,3.63105,0.06299
1.238,3.63059,0.06283
1.239,3.63014,0.06268
1.24,3.62969,0.06252
1.241,3.62924,0.06237
1.242,3.62879,0.06221
1.243,3.62834,0.06206
1.244,3.6279,0.06191
1.245,3.62745,0.06176
1.246,3.62701,0.06161
1.247,3.62657,0.06146
1.248,3.62613,0.06131
1.249,3.62569,0.06116
1.25,3.62525,0.06101
1.251,3.62481,0.06086
1.252,3.62438,0.06072
1.253,3.62395,0.06057
1.254,3.62352,0.06042
1.255,3.62309,0.06028
1.256,3.62266,0.06014
1.257,3.62223,0.05999
1.258,3.62181,0.05985
1.259,3.62138,0.05971
1.26,3.62096,0.05957
1.261,3.62054,0.05943
1.262,3.62012,0.05929
1.263,3.6197,0.05915
1.264,3.61928,0.05901
1.265,3.61887,0.05887
1.266,3.61845,0.05873
1.267,3.61804,0.0586
1.268,3.61763,0.05846
1.269,3.61722,0.05833
1.27,3.61681,0.05819
1.271,3.6164,0.05806
1.272,3.61599,0.05792
1.273,3.61559,0.05779
1.274,3.61519,0.05766
1.275,3.61478,0.05753
1.276,3.61438,0.0574
1.277,3.61398,0.05727
1.278,3.61358,0.05714
1.279,3.61319,0.05701
1.28,3.61279,0.05688
1.281,3.6124,0.05675
1.282,3.612,0.05662
1.283,3.61161,0.0565
1.284,3.61122,0.05637
1.285,3.61083,0.05624
1.286,3.61044,0.05612
1.287,3.61006,0.05599
1.288,3.60967,0.05587
1.289,3.60929,0.05575
1.29,3.6089,0.05562
1.291,3.60852,0.0555
1.292,3.60814,0.05538
1.293,3.60776,0.05526
1.294,3.60738,0.05514
1.295,3.607,0.05502
1.296,3.60663,0.0549
1.297,3.60625,0.05478
1.298,3.60588,0.05466
1.299,3.60551,0.05454
